Library_Identifier,Electronic_Copy_Available,Issue_Status,Checked_Out_Date_And_Time,Issue_Duration,Topic
PHY10167,Available,Available,N/A,N/A,"IEEE Transactions on Parallel and Distributed Systems"
PHY10168,Available,Available,N/A,N/A,"IEEE Transactions on Pattern Analysis and Machine Intelligence"
PHY10169,Available,Available,N/A,N/A,"IEEE Transactions on Plasma Science"
PHY10170,Available,Available,N/A,N/A,"IEEE Transactions on Power Delivery"
PHY10171,Available,Available,N/A,N/A,"IEEE Transactions on Power Electronics"
PHY10172,Available,Available,N/A,N/A,"IEEE Transactions on Power Systems"
PHY10173,Available,Available,N/A,N/A,"IEEE Transactions on Professional Communication"
PHY10174,Available,Available,N/A,N/A,"IEEE Transactions on Radiation and Plasma Medical Sciences"
PHY10175,Available,Available,N/A,N/A,"IEEE Transactions on Reliability"
PHY10176,Available,Available,N/A,N/A,"IEEE Transactions on Robotics"
PHY10177,Available,Available,N/A,N/A,"IEEE Transactions on Semiconductor Manufacturing"
PHY10178,Available,Available,N/A,N/A,"IEEE Transactions on Services Computing"
PHY10179,Available,Available,N/A,N/A,"IEEE Transactions on Signal Processing"
PHY10180,Available,Available,N/A,N/A,"IEEE Transactions on Signal and Information Processing over Networks"
PHY10181,Available,Available,N/A,N/A,"IEEE Transactions on Smart Grid"
PHY10182,Available,Available,N/A,N/A,"IEEE Transactions on Software Engineering"
PHY10183,Available,Available,N/A,N/A,"IEEE Transactions on Sustainable Computing"
PHY10184,Available,Available,N/A,N/A,"IEEE Transactions on Sustainable Energy"
PHY10185,Available,Available,N/A,N/A,"IEEE Transactions on Systems, Man, and Cybernetics: Systems"
PHY10186,Available,Available,N/A,N/A,"IEEE Transactions on Terahertz Science and Technology"
PHY10187,Available,Available,N/A,N/A,"IEEE Transactions on Transportation Electrification"
PHY10188,Available,Available,N/A,N/A,"IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control"
PHY10189,Available,Available,N/A,N/A,"IEEE Transactions on Vehicular Technology"
PHY10190,Available,Available,N/A,N/A,"IEEE Transactions on Very Large Scale Integration (VLSI) Systems"
PHY10191,Available,Available,N/A,N/A,"IEEE Transactions on Visualization and Computer Graphics"
PHY10192,Available,Available,N/A,N/A,"IEEE Transactions on Wireless Communications"
PHY10193,Available,Available,N/A,N/A,"IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society"
PHY10194,Available,Available,N/A,N/A,"IEEE/ACM Transactions on Audio Speech and Language Processing"
PHY10195,Available,Available,N/A,N/A,"IEEE/ACM Transactions on Computational Biology and Bioinformatics"
PHY10196,Available,Available,N/A,N/A,"IEEE/ACM Transactions on Networking"
PHY10197,Available,Available,N/A,N/A,"IEEE/ASME Transactions on Mechatronics"
