Library_Identifier,Physical_Copy_Available,"publication","rank","totalPaid","wordRate","daysToBePaid","paymentDifficulty","rank_totalPaid","rank_wordRate","rank_daysToBePaid","rank_paymentDifficulty"
ELC10254,Available,"The Tempest","57","10","0.02","30","1","80","78.5","28.5","20.5"
ELC10255,Available,"The Hairpin","58","102.35499999999999","0.135","60","1","62","54","66.5","20.5"
ELC10256,Available,"Teen Vogue","59","135","0.15","42","2","57","50.5","52","56.5"
ELC10257,Available,"The Atlantic","60","150","0.13","42","2","52","57","52","56.5"
ELC10258,Available,"The Bold Italic","61","64.5","0.07","30","2","68","67","28.5","56.5"
ELC10259,Available,"Vice","62","250","0.17","42","3","39.5","46.5","52","70.5"
ELC10260,Available,"Rolling Stone","63","247.5","0.25","60","3","43.5","30.5","66.5","70.5"
ELC10261,Available,"The New Inquiry","64","47.5","0.03","15","3","74","76","5.5","70.5"
ELC10262,Available,"Broadly","65","276","0.21","75","2.5","33","38.5","73.5","66"
ELC10263,Available,"Bust","66","50","0.05","60","1.5","72.5","71.5","66.5","44"
ELC10264,Available,"Hyperallergic","67","98.75","0.1","60","2","65","59.5","66.5","56.5"
ELC10265,Available,"Los Angeles Review Of Books","68","60","0.02","51","2","69","78.5","60","56.5"
ELC10266,Available,"The Billfold","69","35.59","0.03","60","2","76","76","66.5","56.5"
ELC10267,Available,"The Financial Diet","70","13.45","0.01","42","3","79","80","52","70.5"
ELC10268,Available,"Alternet","71","250","0.17","76","3.5","39.5","46.5","76","75"
ELC10269,Available,"Dazed","72","130","0.13","75","3","58","57","73.5","70.5"
ELC10270,Available,"Refinery29","73","174.375","0.16","60","4","49","48.5","66.5","76.5"
ELC10271,Available,"Outside Online","74","420","0.5","110","5","14.5","9.5","78.5","79"
ELC10272,Available,"Xojane","75","50","0.045","70","3","72.5","73","71","70.5"
ELC10273,Available,"Ebony","76","581.25","0.23500000000000001","110","5","6","35","78.5","79"
ELC10274,Available,"Kill Screen","77","20","0.03","75","3","78","76","73.5","70.5"
ELC10275,Available,"Paste Magazine","78","96","0.07","75","4","66","67","73.5","76.5"
ELC10276,Available,"Salon","79","150","0.1","110","3","52","59.5","78.5","70.5"
ELC10277,Available,"Almost Fearless","80","152","0.13","110","5","50","57","78.5","79"
